FACILITY_DESCRIPTION,ASSET_ADDR,ASSET_ZIP,ASSET_ID,BLDG_FLOOR_AREA,YEAR_BUILT,PROPERTY_TYPE,SECTOR,NUMBER_OF_BUILDINGS,ENERGY_STAR_SCORE,SITE_EUI,WEATHER_NORMALIZED_SITE_EUI,SOURCE _EUI,WEATHER_NORMALIZED_SOURCE_EUI,PERCENT_BETTER,TOTAL_GHG_EMISSIONS,ELECTRIC_USE,GAS_USE,STEAM_USE,OIL_USE
5th Police District,6654 RIDGE AV,19128,705,10000,1952,Police Station,Police Stations,1,N/A,89.5,91,224.9,222.7,82.7,99.5,185155,N/A,N/A,263026.6
6th Police District,235 N. 11th Street,19107,316,12205,1950,Police Station,Police Stations,1,N/A,100.3,104.9,185.2,187.9,50.4,99.3,136708,7576.4,N/A,N/A
7th Police District / Engine 62,9835 Bustleton Avenue,19115,434,19838,1955,Police Station,Police Stations,1,N/A,117.2,117.3,249.3,246.5,102.4,211.5,351293,11256.6,N/A,N/A
8th Police District,10198 Academy Road,19114,326,14742,1980,Police Station,Police Stations,1,N/A,140.2,145.3,285.4,288.2,131.7,181.4,285878,10907.1,N/A,N/A
92nd Police District / Wissahickon Hall,3600 Wissahickon Avenue,19129,1054,5000,1850,Police Station,Police Stations,1,N/A,74.5,79,114.7,119.2,-6.9,32.5,27127,N/A,N/A,279939.9
9th Police District,2000 Hamilton Street,19130,405,38795,1945,Police Station,Police Stations,1,N/A,55.1,55.1,172.9,172.9,40.6,270.6,626226,N/A,N/A,N/A
Police Internal Affairs,7790 Dungan Road,19111,146,26775,1980,Police Station,Police Stations,1,N/A,106.2,107.1,303,302.1,96.3,331.4,718735,3916.7,N/A,N/A
Prisons Internal Affairs Division,1136 Byberry Road,19116,389,7200,1948,Other - Public Services,Police Stations,1,N/A,87.7,89.7,147.1,148.9,19.5,47.5,55557,4420.4,N/A,N/A
11th & Columbia Playground,1701 N. 11th Street,19122,1135,2800,1965,Other - Recreation,Recreation Facilities,1,N/A,170,170,471,471,387.1,54.1,114841,843.0,N/A,N/A
37th & Mt. Vernon Playground,3700 MT VERNON ST,19104,63,3404,1965,Other - Recreation,Recreation Facilities,1,N/A,14,14,44,44,-54.5,6.0,13965,N/A,N/A,N/A
Allen's Lane Rec & Art Center,601 W. Allens Lane,19119,1085,11640,1891,Other - Recreation,Recreation Facilities,1,N/A,25.5,25.2,80.1,79.1,-17.2,37.6,86982,N/A,N/A,N/A
Amos Playground,1600 Berks Street,19125,1015,4291,1915,Other - Recreation,Recreation Facilities,1,N/A,159.9,167.9,262.8,271.2,171.5,50.8,57079,4913.8,N/A,N/A
Anderson Rec Center,740 South 17th Street,19146,272,31857,1900,Other - Recreation,Recreation Facilities,1,N/A,88.2,93.8,138.8,144.2,43.4,200.9,206192,21074.0,N/A,N/A
Athletic Rec Center,1400 North 26th Street,19121,687,26845,1954,Other - Recreation,Recreation Facilities,1,N/A,92.1,98.2,135.6,141.3,40,168.0,146171,19747.9,N/A,N/A
Awbury Rec Center,6101 Ardleigh Avenue,19138,944,8854,1925,Other - Recreation,Recreation Facilities,1,N/A,198.4,204.5,463.4,469.8,378.1,172.7,316795,6754.0,N/A,N/A
Barry Playground,1800 Bigler Street,19145,262,2274,1987,Other - Recreation,Recreation Facilities,1,N/A,270,281.1,581.4,593.1,500,56.4,94994,2899.0,N/A,N/A
Belfield Rec Center,2100 W Chew Avenue,19138,722,19125,1915,Other - Recreation,Recreation Facilities,1,N/A,63.9,66.5,129,130.8,33.1,106.5,165948,6558.6,N/A,N/A
Bridesburg Rec Center,4601 Richmond Street,19137,899,21192,1916,Other - Recreation,Recreation Facilities,1,N/A,99,105.3,168,174.7,73.4,159.1,190385,14474.2,N/A,N/A
Capitolo Playground,900 Federal Street,19147,501,3363,1900,Other - Recreation,Recreation Facilities,1,N/A,76.3,79.5,167.4,170.7,73,24.0,41163,1161.6,N/A,N/A
Carousel House Recreation Center Building,2300 Belmont Avenue,19131,1008,20000,1950,Other - Recreation,Recreation Facilities,1,N/A,164.2,171.1,286.9,291.1,196.4,254.9,320939,21896.4,N/A,N/A
